Site,scode,rep,year,seasn,occasion,spid,species,indiv
5,s5,5d,2008,S,S08,109,Tetramorium sericeiventre,2
6,s6,6a,2008,S,S08,70,Monomorium taedium,47
6,s6,6a,2008,S,S08,101,Tetramorium bothae,3
6,s6,6d,2008,S,S08,122,Tetramorium sp. 5,2
6,s6,6d,2008,S,S08,114,Tetramorium sp. 25,1
6,s6,6d,2008,S,S08,119,Tetramorium sp. 40,1
6,s6,6d,2008,S,S08,102,Tetramorium frenchi,1
6,s6,6d,2008,S,S08,109,Tetramorium sericeiventre,4
7,s7,7a,2008,S,S08,134,Camponotus havilandi,3
7,s7,7a,2008,S,S08,46,Lepisiota sp. 10,1
7,s7,7a,2008,S,S08,55,Lepisiota un05,1
7,s7,7a,2008,S,S08,58,Meranoplus peringueyi,1
7,s7,7a,2008,S,S08,137,Pachycondyla caffraria,4
7,s7,7a,2008,S,S08,87,Plagiolepis un01,3
7,s7,7a,2008,S,S08,91,Pristomyrmex fossulatus,3
7,s7,7a,2008,S,S08,94,Solenopsis sp. 2,3
7,s7,7a,2008,S,S08,101,Tetramorium bothae,2
7,s7,7a,2008,S,S08,102,Tetramorium frenchi,1
7,s7,7b,2008,S,S08,42,Dorylus un01,1
7,s7,7c,2008,S,S08,115,Tetramorium sp. 27,1
7,s7,7c,2008,S,S08,119,Tetramorium sp. 40,1
7,s7,7c,2008,S,S08,101,Tetramorium bothae,2
7,s7,7d,2008,S,S08,138,Anoplolepis custodiens,11
7,s7,7d,2008,S,S08,39,Crematogaster un02,4
7,s7,7d,2008,S,S08,48,Lepisiota sp. 12,4
7,s7,7d,2008,S,S08,53,Lepisiota un01,8
7,s7,7d,2008,S,S08,54,Lepisiota un03,1
7,s7,7d,2008,S,S08,71,Monomorium un01,20
7,s7,7d,2008,S,S08,137,Pachycondyla caffraria,2
7,s7,7d,2008,S,S08,85,Pheidole un01,2
7,s7,7d,2008,S,S08,93,Solenopsis sp. 1,3
7,s7,7d,2008,S,S08,101,Tetramorium bothae,8
7,s7,7d,2008,S,S08,102,Tetramorium frenchi,1
7,s7,7d,2008,S,S08,109,Tetramorium sericeiventre,14
7,s7,7d,2008,S,S08,110,Tetramorium setiferum,1
8,s8,8a,2008,S,S08,118,Tetramorium sp. 32,1
8,s8,8a,2008,S,S08,102,Tetramorium frenchi,1
8,s8,8c,2009,S,S09,82,Pheidole sp. 1,8
8,s8,8c,2009,S,S09,91,Pristomyrmex fossulatus,1
8,s8,8b,2009,S,S09,82,Pheidole sp. 1,1
8,s8,8a,2009,S,S09,82,Pheidole sp. 1,7
7,s7,7d,2009,S,S09,122,Tetramorium sp. 5,4
7,s7,7d,2009,S,S09,112,Tetramorium sp. 14,1
7,s7,7d,2009,S,S09,101,Tetramorium bothae,2
7,s7,7d,2009,S,S09,109,Tetramorium sericeiventre,7
7,s7,7b,2009,S,S09,112,Tetramorium sp. 14,1
7,s7,7b,2009,S,S09,102,Tetramorium frenchi,4
6,s6,6d,2009,S,S09,65,Monomorium sp. 12,2
6,s6,6d,2009,S,S09,122,Tetramorium sp. 5,1
6,s6,6c,2009,S,S09,91,Pristomyrmex fossulatus,2
6,s6,6b,2009,S,S09,140,Camponotus irredux,1
6,s6,6b,2009,S,S09,37,Crematogaster natalensis,2
6,s6,6b,2009,S,S09,100,Technomyrmex un01,1
6,s6,6b,2009,S,S09,114,Tetramorium sp. 25,8
6,s6,6b,2009,S,S09,119,Tetramorium sp. 40,1
6,s6,6b,2009,S,S09,102,Tetramorium frenchi,2
6,s6,6b,2009,S,S09,103,Tetramorium fridgidum,2
6,s6,6a,2009,S,S09,102,Tetramorium frenchi,1
5,s5,5d,2009,S,S09,111,Tetramorium sp. 10,3
5,s5,5d,2009,S,S09,101,Tetramorium bothae,9
5,s5,5d,2009,S,S09,109,Tetramorium sericeiventre,3
5,s5,5c,2009,S,S09,102,Tetramorium frenchi,2
5,s5,5c,2009,S,S09,103,Tetramorium fridgidum,6
5,s5,5c,2009,S,S09,109,Tetramorium sericeiventre,3
5,s5,5b,2009,S,S09,140,Camponotus irredux,5
5,s5,5b,2009,S,S09,47,Lepisiota sp. 11,2
5,s5,5b,2009,S,S09,53,Lepisiota un01,1
5,s5,5b,2009,S,S09,54,Lepisiota un03,2
5,s5,5b,2009,S,S09,55,Lepisiota un05,1
5,s5,5b,2009,S,S09,114,Tetramorium sp. 25,3
5,s5,5b,2009,S,S09,101,Tetramorium bothae,10
5,s5,5b,2009,S,S09,102,Tetramorium frenchi,4
5,s5,5a,2009,S,S09,101,Tetramorium bothae,4
5,s5,5a,2009,S,S09,103,Tetramorium fridgidum,5
4,s4,4d,2009,S,S09,31,Camponotus un10,5
4,s4,4d,2009,S,S09,140,Camponotus irredux,2
4,s4,4d,2009,S,S09,46,Lepisiota sp. 10,4
4,s4,4d,2009,S,S09,55,Lepisiota un05,1
4,s4,4d,2009,S,S09,113,Tetramorium sp. 18,7
4,s4,4d,2009,S,S09,101,Tetramorium bothae,7
4,s4,4d,2009,S,S09,102,Tetramorium frenchi,2
